longitude,count
17.670561,11
29.55986,11
-83.067764,11
10.328847,11
23.682091,11
101.666672,11
122.989998,11
-78.878677,11
-3.93682,11
-2.97794,11
114.065689,11
12.11227,11
-86.586098,11
-80.236389,11
26.213575,11
49.121784,11
117.022499,11
107.375275,11
76.793022,11
-104.791328,11
11.7701,11
-122.244858,11
2.384315,11
14.41972,11
116.9953,11
20.510933,11
-122.203918,11
-117.816177,11
21.227221,11
-0.877521,11
-79.505936,11
-83.22187,11
54.366669,11
-122.33326,11
8.13736,11
-105.212502,11
109.716667,11
49.345875,11
24.023239,10
-122.189568,10
14.523943,10
-82.797501,10
92.79248,10
8.918795,10
31.029112,10
-104.781059,10
-122.182579,10
-0.68759,10
33.09251,10
140.100311,10
-72.272346,10
3.877065,10
-3.91946,10
-6.81703,10
-8.644259,10
13.79754,10
4.71667,10
-114.085289,10
-120.310349,10
-74.669518,10
112.459717,10
49.11882,10
-71.259216,10
125.0,10
106.907135,10
-105.594482,10
100.974808,10
-49.253914,10
9.134422,10
-118.189316,10
-83.227531,10
6.764921,10
27.600119,10
144.942276,10
15.47735,10
9.918606,10
23.251961,10
-98.98333,10
35.195179,10
14.16033,10
-122.803711,10
-80.414093,10
4.14324,10
15.449907,10
120.21283,10
7.359528,10
-74.361977,10
-48.549171,10
15.39013,9
-77.361115,9
-2.7512,9
-80.207703,9
-95.433586,9
8.570921,9
-75.597496,9
-73.543121,9
115.701157,9
56.045403,9
-87.652069,9
8.99167,9
-34.86306,9
-113.468712,9
-79.414932,9
44.002048,9
-95.992783,9
1.394142,9
24.85878,9
16.51078,9
-96.890282,9
55.599998,9
-119.698311,9
4.67165,9
-2.26667,9
-123.086746,9
-87.898315,9
10.659409,9
1.09932,9
-73.966248,9
9.10256,9
8.618329,9
0.58333,9
10.25639,9
-0.366944,9
1.443844,9
122.008057,9
-94.670883,9
39.691357,9
11.329653,9
115.81636,9
48.468102,9
126.56028,9
-104.995598,9
12.112495,9
-104.960487,9
-79.980957,9
-3.83019,9
-1.67429,9
111.199997,9
109.48333,9
116.866669,9
-2.43333,9
30.445936,9
114.400436,9
116.58139,9
22.717791,9
-2.09064,9
0.01519,9
114.979271,9
-111.881721,9
106.816505,9
-5.372238,9
-111.695877,9
-38.621941,9
8.69674,9
-73.538246,9
103.834038,9
127.466667,9
-75.565109,9
-2.0,9
-1.32059,9
-123.035172,9
17.634527,9
-122.291954,9
-75.793671,9
-88.32019,8
-43.42889,8
8.70635,8
-97.046677,8
9.58485,8
-13.547766,8
-75.658257,8
-48.27792,8
10.61718,8
127.48333,8
3.086063,8
-0.01565,8
2.66667,8
55.449711,8
9.374761,8
-71.537735,8
112.190277,8
-116.203598,8
-77.632469,8
-35.209579,8
-71.802498,8
10.22727,8
48.040707,8
0.33333,8
-122.488182,8
22.268759,8
-121.302773,8
124.394722,8
113.900002,8
-63.572392,8
107.356003,8
10.882506,8
-1.08271,8
13.556564,8
7.8232,8
74.343559,8
-117.867828,8
-71.23333,8
-8.395956,8
-73.571136,8
10.19033,8
-0.74934,8
5.56749,8
-122.444443,8
73.043381,8
-0.60905,8
4.32501,8
-7.58333,8
-84.377632,8
-0.75583,8
4.31944,8
-57.599998,8
123.923332,8
11.96389,8
7.62434,8
107.62326,8
5.5184,8
6.90694,8
-119.772369,8
-93.567993,8
-72.823784,8
106.926666,8
-80.257988,8
135.768326,8
-81.34584,8
-78.471497,8
-87.982574,8
117.050659,8
5.73521,8
105.822998,8
115.96479,8
5.01656,8
-85.75943,8
7.94612,8
-1.61396,8
-75.710564,8
7.1113,8
106.050003,8
-1.15047,8
136.767029,8
-47.929688,8
-116.563461,8
-118.447594,8
33.76667,8
-74.655563,8
-87.216927,8
31.283382,7
129.213882,7
147.329407,7
8.6687,7
33.366673,7
-0.72571,7
114.833328,7
-2.91987,7
30.850731,7
112.630196,7
23.637079,7
34.650002,7
8.75,7
22.33333,7
-88.616669,7
28.763029,7
-87.923325,7
-123.052429,7
-118.123734,7
-106.651138,7
-105.08654,7
-0.33525,7
49.93195,7
127.150551,7
-111.157936,7
103.783333,7
21.88917,7
-56.05249,7
139.466904,7
-46.975281,7
114.030144,7
-89.866669,7
-118.35006,7
12.4,7
0.17021,7
-1.13029,7
151.127838,7
-80.511284,7
26.25,7
6.288529,7
57.49889,7
-64.181419,7
40.971142,7
-5.93333,7
38.045559,7
-75.563393,7
-1.8795,7
12.49118,7
0.2,7
5.24247,7
-96.538879,7
8.766379,7
10.88546,7
-96.803474,7
2.12868,7
6.37947,7
-60.639717,7
126.954414,7
5.090815,7
-89.411415,7
-73.949577,7
176.167038,7
12.07612,7
11.250106,7
-91.154671,7
28.48097,7
7.034065,7
-122.20211,7
-122.410446,7
109.749443,7
114.216667,7
-95.465271,7
2.95924,7
-76.136902,7
9.475479,7
6.82942,7
77.399971,7
-81.794807,7
6.172787,7
17.90033,7
9.38327,7
14.63333,7
47.890347,7
10.994763,7
-99.107239,7
-80.131561,7
-77.860191,7
51.522449,7
-75.550354,7
-95.824402,7
10.56155,7
4.18785,7
-84.29409,7
1.903912,7
98.98468,7
-0.56667,7
-112.017197,7
-110.926483,7
-85.667892,7
129.040283,7
-81.393143,7
14.23435,7
-79.249237,7
21.01749,7
-83.12027,7
-112.026154,7
-85.705307,7
-97.096962,7
-4.50156,7
56.285347,7
-82.325005,7
35.372219,7
-73.523331,7
4.61443,6
-0.1,6
-85.587227,6
-1.78116,6
-95.2948,6
8.279688,6
-72.928062,6
-73.984955,6
-71.052696,6
-94.799149,6
18.598141,6
39.18425,6
139.763321,6
-96.994171,6
14.40917,6
-114.014099,6
103.816025,6
13.38406,6
11.630042,6
5.080222,6
-79.666351,6
-114.065269,6
4.883683,6
6.63333,6
-78.898926,6
-77.386993,6
-80.366379,6
5.19861,6
21.433226,6
103.01667,6
10.83576,6
-157.859192,6
34.973888,6
8.024068,6
-73.95224,6
-123.024124,6
9.14641,6
3.04197,6
15.11787,6
27.450001,6
-71.412697,6
10.59723,6
-73.204826,6
135.800171,6
127.124634,6
105.573318,6
27.420942,6
-99.890007,6
76.333328,6
38.273899,6
117.8871,6
82.216667,6
-119.761917,6
-122.217659,6
110.603607,6
-96.823891,6
-95.39608,6
2.58116,6
-41.299862,6
-2.28741,6
8.59672,6
4.82643,6
21.80278,6
145.093185,6
-75.92688,6
6.476385,6
12.326336,6
15.58661,6
50.103424,6
98.398109,6
32.581768,6
-3.683866,6
5.30417,6
39.711872,6
44.514206,6
-96.700188,6
-115.118896,6
-86.526909,6
-86.802643,6
-38.543083,6
109.18335,6
14.31046,6
-121.37162,6
-80.477356,6
16.851179,6
106.88324,6
9.293238,6
23.765245,6
-75.595535,6
23.568081,6
-104.610451,6
-75.653954,6
-100.490135,6
12.49094,6
16.498791,6
39.783329,6
121.909111,6
53.370331,6
-3.94323,6
-2.59665,6
23.599871,6
52.538799,6
37.76722,6
76.552948,6
6.9504,6
100.273621,6
21.969391,6
4.99943,6
17.625319,6
109.508896,6
36.79882,6
115.347504,6
-8.611235,6
-70.700165,6
31.785061,6
-122.325996,6
-1.49768,6
-122.736443,6
135.382904,6
44.833527,6
108.702606,6
5.666279,6
4.11378,6
9.407454,6
1.29834,6
100.653969,6
-76.147423,6
121.143921,6
118.485558,6
8.933719,6
9.66905,6
-123.112984,6
-117.179619,6
-87.780899,6
13.41053,6
-73.689903,6
12.473113,6
-81.778969,6
-92.34288,6
-94.961029,6
-2.66667,6
-1.205039,6
-73.759026,5
-83.704872,5
9.052169,5
-71.096848,5
128.899994,5
-88.562927,5
-78.524948,5
33.41972,5
106.686111,5
-98.144264,5
-123.369705,5
-71.899078,5
121.469139,5
-79.949638,5
10.88333,5
-71.640488,5
6.585407,5
-2.635,5
-1.754,5
-73.564865,5
33.033245,5
6.828,5
110.342712,5
16.184641,5
12.643305,5
-92.289589,5
9.654844,5
-120.332588,5
-122.177078,5
-75.119621,5
-84.309944,5
-3.804549,5
10.925567,5
-87.628998,5
39.412682,5
-80.428894,5
-75.685837,5
-86.257187,5
-118.449738,5
15.26044,5
-82.510269,5
-99.301224,5
-74.51442,5
5.791875,5
-77.177483,5
52.812721,5
-86.483398,5
-73.373451,5
150.081436,5
44.801991,5
-3.77394,5
13.241912,5
21.78639,5
-0.40649,5
4.35556,5
-83.045753,5
7.425833,5
-83.081467,5
-71.19561,5
12.12273,5
28.18577,5
-77.615562,5
91.633331,5
-74.171837,5
107.472778,5
-99.667252,5
107.500923,5
15.087139,5
44.897381,5
-111.990997,5
-84.76757,5
115.005394,5
-84.336159,5
-111.619766,5
108.616669,5
109.099998,5
-81.878014,5
140.867126,5
-106.487045,5
35.187836,5
-74.229942,5
-80.333817,5
39.663628,5
1.15,5
8.3384,5
25.342491,5
-57.485802,5
117.618607,5
103.291924,5
-79.333099,5
-3.60714,5
-95.489639,5
-117.396156,5
6.73524,5
-73.997688,5
-5.4875,5
-96.615059,5
-77.306374,5
73.849998,5
-89.640663,5
77.099998,5
-95.386726,5
-112.191063,5
-111.855865,5
-8.58393,5
-97.765556,5
25.283331,5
-61.534859,5
10.51361,5
6.2175,5
-0.3023,5
4.84862,5
126.822365,5
-118.433456,5
27.46781,5
-122.036148,5
-74.110588,5
-79.480759,5
-122.256638,5
-100.928139,5
-2.666649,5
-120.659637,5
114.800003,5
4.867504,5
-71.722298,5
8.96961,5
49.650002,5
-80.361427,5
10.003548,5
7.15,5
-2.22001,5
