asn,count
6786,9
12843,9
30962,9
12741,9
8369,9
204997,9
29470,9
6855,9
8648,9
397731,9
135161,9
12722,9
51819,9
43357,9
63023,9
6908,9
9299,9
45903,9
44984,9
17451,9
134765,9
1103,9
38372,9
135337,9
200547,9
35280,9
15395,9
400810,9
28917,9
397273,9
9908,9
207714,9
2012,9
12810,9
42831,9
12555,9
8342,9
38235,9
20454,9
45544,9
148981,9
131596,9
136038,9
20738,9
20546,9
140265,9
34119,9
58879,9
55850,9
31673,9
8,9
46844,9
7859,9
28840,9
35613,9
28707,9
41354,9
54502,9
132813,9
26042,9
2611,9
46450,9
3842,9
24951,9
9063,9
24429,9
397373,9
8517,8
7459,8
9919,8
63760,8
25563,8
47524,8
2637,8
17964,8
29551,8
55824,8
27651,8
32748,8
1299,8
394344,8
141004,8
12414,8
10474,8
56630,8
50923,8
206176,8
198096,8
16097,8
54825,8
52,8
399282,8
4657,8
6752,8
35779,8
133296,8
9459,8
25106,8
17995,8
17511,8
15895,8
24989,8
2614,8
9541,8
56067,8
139007,8
49718,8
5413,8
12605,8
50613,8
26277,8
59554,8
18182,8
2546,8
211552,8
133776,8
139019,8
2914,8
15796,8
40630,8
397423,8
140726,8
9891,8
20647,8
135391,8
3257,8
398721,8
45916,8
29124,8
17878,8
786,8
50599,8
30968,8
24164,8
7586,8
146966,8
23140,8
136195,8
58541,8
4809,8
41608,8
131149,8
25227,8
21947,7
206216,7
8739,7
40244,7
53055,7
53824,7
44136,7
28824,7
50304,7
23352,7
58487,7
33696,7
51561,7
13188,7
4213,7
54858,7
17408,7
9112,7
210644,7
32613,7
42093,7
38244,7
21221,7
198346,7
31334,7
133694,7
62121,7
200462,7
2518,7
48918,7
200000,7
210250,7
39923,7
199298,7
25515,7
41786,7
204843,7
34300,7
7560,7
9916,7
6364,7
43513,7
197498,7
12334,7
137872,7
202635,7
136958,7
31,7
17055,7
58477,7
8439,7
13489,7
5470,7
41563,7
2715,7
25592,7
8193,7
11814,7
12570,7
21501,7
207967,7
202779,7
11042,7
17775,7
45839,7
38099,7
12576,7
43260,7
3661,7
207143,7
270967,7
41275,7
37002,7
3582,7
197071,7
134835,7
44592,7
60117,7
209043,7
200509,7
42337,7
20633,7
60131,7
7470,7
199524,7
42560,7
24955,7
12578,7
48715,7
149042,7
7122,7
400464,7
15694,7
9136,7
26615,7
211301,7
9931,7
139180,7
60713,7
34931,7
31732,7
23089,7
59,7
395466,7
19165,7
46392,7
49073,6
40156,6
43128,6
3265,6
1133,6
11831,6
21949,6
16230,6
212027,6
35174,6
46261,6
12611,6
137695,6
134176,6
149178,6
204548,6
9070,6
24631,6
49635,6
13649,6
208769,6
28209,6
36218,6
140717,6
10088,6
25653,6
52000,6
15731,6
48282,6
25255,6
212506,6
25151,6
16637,6
14051,6
212047,6
34282,6
27425,6
210457,6
47156,6
13045,6
2857,6
200482,6
8400,6
42926,6
17589,6
16138,6
5578,6
42707,6
15830,6
35206,6
210882,6
197248,6
24651,6
201838,6
41508,6
198068,6
55799,6
5538,6
400519,6
53292,6
19201,6
35278,6
27323,6
27176,6
36444,6
139203,6
12337,6
49367,6
55286,6
210403,6
47711,6
38732,6
397412,6
132525,6
30781,6
212238,6
56150,6
24211,6
38847,6
396073,6
140810,6
31083,6
9754,6
36007,6
23674,6
16342,6
15802,6
5603,6
18206,6
205516,6
47692,6
17753,6
13110,6
8334,6
7625,6
211560,6
10148,6
51483,6
23570,6
134111,6
24282,6
9848,6
136897,6
54913,6
47764,6
58542,6
56019,6
17639,6
132199,6
8492,6
30733,6
11172,6
201200,6
6147,6
56740,6
3216,6
9321,6
2607,6
50716,6
41843,6
42961,6
43205,6
12695,6
42893,6
12768,6
156,6
45773,6
21232,6
9199,6
12759,6
15366,6
11340,6
200999,6
15659,6
55470,6
328543,6
210977,6
9271,6
213095,6
16245,6
41887,6
3308,6
204957,6
14155,6
12390,6
8312,6
11845,6
19045,5
13213,5
136994,5
29691,5
49531,5
35612,5
30731,5
23473,5
42652,5
7516,5
28890,5
46475,5
30782,5
39544,5
51790,5
34867,5
34602,5
18390,5
43939,5
51219,5
149769,5
51191,5
45458,5
47623,5
17222,5
8437,5
9069,5
62618,5
3188,5
31775,5
135343,5
206065,5
41000,5
139201,5
12301,5
204544,5
3813,5
12470,5
201206,5
37061,5
196695,5
43171,5
7276,5
398826,5
58272,5
53166,5
5390,5
45304,5
52188,5
199274,5
27823,5
73,5
131111,5
6856,5
18028,5
200303,5
2504,5
8111,5
38103,5
18209,5
12302,5
25472,5
1942,5
202596,5
34934,5
25310,5
39857,5
23851,5
9526,5
24904,5
41733,5
15419,5
24863,5
61173,5
204274,5
51184,5
206596,5
133119,5
17625,5
42682,5
132241,5
135407,5
3512,5
399898,5
15011,5
64236,5
10396,5
24657,5
25504,5
21412,5
399507,5
6703,5
17139,5
203380,5
49808,5
60631,5
17444,5
135967,5
15962,5
197068,5
27895,5
45671,5
48137,5
21777,5
6315,5
15582,5
34757,5
132925,5
9294,5
48551,5
54489,5
18501,5
11796,5
21928,5
40153,5
11872,5
6876,5
205072,5
4621,5
13124,5
1113,5
201863,5
42291,5
40788,5
3267,5
35271,5
29447,5
149020,5
18747,5
49788,5
34941,5
8622,5
196653,5
200713,5
42612,5
36943,5
47232,5
7057,5
21582,5
38264,5
3132,5
54329,5
196949,5
47890,5
200590,5
23576,5
63916,5
136146,5
4922,5
26292,5
33097,5
12350,5
56882,5
138997,5
398993,5
24739,5
7472,5
52209,5
30058,5
63119,5
38583,5
28271,5
28220,5
56042,5
140278,5
133613,5
38482,5
25512,5
3737,5
399195,5
24348,5
7979,5
48825,5
25530,5
6738,5
64270,5
13951,4
32555,4
39028,4
49870,4
400228,4
61468,4
16246,4
62214,4
13490,4
33425,4
1776,4
37705,4
8047,4
2602,4
158,4
2501,4
12119,4
42772,4
207348,4
9322,4
12306,4
45177,4
62838,4
46746,4
150436,4
5056,4
34863,4
39134,4
201964,4
44724,4
56665,4
3359,4
16010,4
18158,4
31383,4
29422,4
30176,4
209400,4
29686,4
134196,4
40317,4
199513,4
135951,4
213202,4
9286,4
45179,4
49943,4
198627,4
29085,4
140766,4
131745,4
17054,4
136557,4
15318,4
208909,4
59507,4
10971,4
34718,4
8728,4
397031,4
49814,4
31304,4
62212,4
12464,4
398343,4
12453,4
2202,4
35041,4
17882,4
40029,4
47215,4
34318,4
29670,4
208666,4
8278,4
212263,4
53187,4
46505,4
2848,4
17766,4
56835,4
28747,4
207633,4
31242,4
48971,4
61323,4
327942,4
8744,4
8925,4
12552,4
200134,4
8829,4
199644,4
208582,4
263511,4
49855,4
34362,4
50474,4
14677,4
29825,4
9274,4
49350,4
12179,4
399566,4
39120,4
26827,4
59827,4
9150,4
136000,4
202667,4
17870,4
31638,4
16839,4
8251,4
6772,4
8522,4
12731,4
149137,4
17465,4
197226,4
206642,4
20545,4
204151,4
61053,4
202602,4
18001,4
202613,4
13999,4
29119,4
328366,4
3676,4
12148,4
211432,4
22653,4
19257,4
60490,4
58539,4
12129,4
5719,4
400133,4
55106,4
13886,4
207758,4
398395,4
22205,4
48614,4
396356,4
1706,4
9121,4
31863,4
5466,4
14333,4
10255,4
52030,4
51570,4
40864,4
41745,4
209045,4
27364,4
132742,4
131642,4
42447,4
139293,4
60087,4
327782,4
11260,4
20910,4
8752,4
35739,4
63018,4
136821,4
205090,4
9335,4
10066,4
133647,4
131428,4
62904,4
8888,4
131939,4
208951,4
132056,4
9657,4
136933,4
213122,4
20880,4
56132,4
140061,4
2280,4
199636,4
270814,4
396881,4
200105,4
210329,4
30900,4
24093,4
44000,4
376,4
