jarm,count
29d29d20d29d29d22c29d29d29d29d8e917db1de9d33002d70770504a55ef7,246
27d27d27d29d27d00042d42d00000026a95928fa9b620834c2feff40bccb8f,246
2ad2ad0002ad2ad0002ad2ad2ad2ad02098c5f1b1aef82f7daaf9fed36c4e8,241
1dd40d40d00040d00042d43d000000e1ea2a807a629b496b664cf07ad7c08d,235
2ad2ad16d2ad2ad00042d42d000000df133019600a83abfb096ff3e86cd79d,226
3fd3fd15d3fd3fd00042d42d00000072e74222ce193a6f991becaa3da6c94d,209
22d22d00022d22d00042d42d000000ad9bf51cc3f5a1e29eecb81d0c7b06eb,208
07d14d16d21d21d00042d43d00000076e5b3c488a88e5790970b78ffb8afc2,204
33d3fd16d29d29d00042d43d000000f969de8346060623ff1a681e56326e65,198
2ad2ad16d2ad2ad0002ad2ad2ad2ad783c15df386a8f7b030295f1ff4c2373,190
29d29d00029d29d00029d29d29d29d33c8b328f3568a7c72e1a441e5a1d146,190
3fd3fd0003fd3fd21c42d42d000000f816eaea5c28bd7b1d0104ee7676bfe1,190
3fd3fd0003fd3fd00042d42d0000002059a3b916699461c5923779b77cf06b,189
28d28d28d00028d00042d42d0000005a3e96c1dfa4bdb24b8b3c04cae18cc3,186
21d19d00021d21d21c21d19d21d21da1a818a999858855445ec8a8fdd38eb5,185
2ad2ad0002ad2ad0002ad2ad2ad2ada9e96d3ba9f7903758a731e0fa01453d,181
29d29d00029d29d00042d42d00000000f78d2dc0ce6e5bbc5b8149a4872356,181
27d27d27d00027d00042d43d00041dba951fb796b4b956c9799ba19149e94a,181
21d19d00021d21d21c21d19d21d21d3b0d229d76f2fd7cb8e23bb87da38a20,179
00000000000000000000000000000000000000000000000000000000000000,177
21d19d00021d21d00042d43d0000006ff53d3bb91b22780258470ca10d40c1,171
3fd21b20d3fd3fd21c43d21b21b43d1ec49a4b64df0a9e9f328abd60285841,170
21d19d00021d21d21c21d19d21d21dddc75ea8bb053134e7478e004d03ff65,165
29d29d00029d29d00042d42d000000301510f56407964db9434a9bb0d4ee4a,164
27d27d27d00027d1dc27d27d27d27d4ab1c5ad3239a0cb994368a0c0f546a5,162
27d27d27d00027d00042d42d000000831b6af40378e2dd35eeac4e9311926e,160
29d3fd00029d29d00042d43d00041d598ac0c1012db967bb1ad0ff2491b3ae,160
29d29d16d29d29d00042d42d0000005fd00fabd213a5ac89229012f70afd5c,160
3fd3fd00000000000043d3fd3fd43d1f95be2da273ef2c8a48299dbff3c2cf,159
2ad2ad0002ad2ad22c42d42d000000bdfc58c9a46434368cf60aa440385763,154
2ad2ad16d2ad2ad00042d42d000000cd600c085f371f8533aaf66051f8e5b1,152
27d27d27d00027d00042d43d00041df04c41293ba84f6efe3a613b22f983e6,151
