port,count
49666,26
8118,26
52951,26
2121,25
5919,25
2701,25
10162,25
9663,25
11300,25
20547,25
9400,25
6103,25
446,25
10912,25
28784,25
4712,25
2604,25
2,25
4782,25
66,25
8126,25
1111,25
67,25
52230,25
992,25
3388,25
620,25
4028,25
2379,24
5269,24
55081,24
8849,24
14000,24
4070,24
623,24
2882,24
3460,24
9800,24
502,24
9595,24
4124,24
9927,24
9465,24
3075,24
8125,24
5903,24
10554,24
503,24
9668,24
9700,24
9765,24
121,24
20880,24
18001,24
9901,24
1080,24
6789,23
8194,23
3185,23
2101,23
31337,23
9658,23
2154,23
8249,23
2881,23
5433,23
4445,23
3372,23
17988,23
9872,23
49664,23
5010,23
131,23
9797,23
3780,23
3390,23
9997,22
5552,22
1967,22
175,22
95,22
100,22
15,22
49669,22
9943,22
106,22
9529,22
49670,22
9864,22
2001,22
6543,22
8013,22
49671,22
93,22
10333,22
4730,22
2401,22
3187,22
17185,22
4190,22
4911,22
8334,22
50003,22
9488,21
9447,21
9682,21
52200,21
1344,21
4321,21
1604,21
9743,21
8250,21
2628,21
28080,21
9802,21
9345,20
8378,20
49161,20
7880,20
8022,20
4063,20
8388,20
8201,20
314,20
9513,20
5051,20
9530,20
49167,20
55475,20
22105,20
13722,20
4002,20
9696,20
92,20
137,20
9088,20
9410,20
9710,20
9446,20
9861,20
5900,20
9376,20
49165,20
9918,20
49672,19
9500,19
1554,19
4842,19
5598,19
8787,19
9383,19
4102,19
22222,19
6666,19
5986,19
3052,19
101,19
9441,19
50002,18
17,18
3352,18
8351,18
9501,18
50051,18
4282,18
8012,18
8333,18
9653,18
1030,18
555,18
5093,18
9480,18
9399,18
9899,18
9389,18
119,18
8011,18
515,18
9350,18
9393,18
4100,18
97,17
94,17
1645,17
5984,17
427,17
9550,17
9099,17
8801,17
1099,17
179,17
9553,17
9674,17
4840,17
17000,17
30007,17
4242,17
6081,17
1443,17
1812,16
285,16
4182,16
10911,16
385,16
10120,16
4020,16
3189,16
4414,16
5631,16
2123,16
49159,16
4152,15
11435,15
9433,15
192,15
7771,15
1400,15
4545,15
222,15
4104,15
8434,15
7912,15
4050,15
3188,15
685,15
30303,15
4042,15
10244,15
33333,15
4298,15
2375,14
10095,14
54321,14
3672,14
8377,14
3671,14
4266,14
60010,14
10088,14
2023,14
9445,14
7717,14
6580,14
53556,14
16993,14
7105,14
343,14
7006,14
11111,14
7085,14
2380,14
3391,14
96,14
10134,14
3190,14
49674,13
4439,13
54322,13
8649,13
10245,13
7025,13
4284,13
485,13
347,13
60001,13
4381,13
49673,13
8900,13
448,13
3636,13
2022,13
7050,13
7086,13
34963,13
9758,13
64738,13
3337,13
4010,13
5566,13
10218,13
3400,13
400,13
9515,13
6488,13
10238,13
540,13
591,13
4014,13
49668,13
12434,13
5990,13
441,13
4520,13
30002,12
2376,12
43333,12
6775,12
12203,12
25,12
480,12
6688,12
6556,12
6601,12
602,12
8808,12
9353,12
6331,12
46324,12
451,12
7090,12
9454,12
45554,12
5632,12
243,12
30037,12
735,12
4437,12
6500,12
440,12
54443,12
30006,12
4088,12
6405,12
30003,12
4468,12
1725,12
41690,12
7707,12
7444,12
7020,12
7325,12
1985,12
7081,12
6561,11
7011,11
10909,11
7079,11
7799,11
6511,11
7441,11
4455,11
6100,11
1593,11
9532,11
2333,11
9527,11
7373,11
9026,11
49160,11
21434,11
6606,11
8015,11
61,11
632,11
462,11
9387,11
40005,11
4240,11
64321,11
6380,11
190,11
5995,11
7654,11
10096,11
34962,11
6779,11
6700,11
4252,11
7018,11
8024,10
7173,10
4310,10
6440,10
6021,10
6011,10
6061,10
6482,10
5992,10
7773,10
10122,10
556,10
453,10
4036,10
7687,10
5997,10
7172,10
7775,10
7774,10
12258,10
2332,10
6799,10
7087,10
7082,10
7015,10
5554,10
1337,10
8902,10
4522,10
7057,10
10116,10
60030,10
4108,10
7331,10
49163,10
3702,10
3335,10
4760,10
9351,10
60020,10
10058,10
3334,10
743,10
7403,10
34964,10
487,10
30012,10
5993,10
7088,10
7102,10
6352,10
6161,10
6603,10
6348,10
3478,9
34567,9
27016,9
5998,9
5672,9
7480,9
8078,9
51000,9
52010,9
7283,9
3196,9
7782,9
1333,9
7078,9
6755,9
1883,9
4294,9
491,9
3192,9
461,9
488,9
4344,9
7603,9
5989,9
6050,9
6400,9
6264,9
4118,9
7998,9
33443,9
6020,9
4030,9
8484,9
7349,9
5432,9
1022,8
7601,8
11443,8
12001,8
6605,8
6433,8
3194,8
6102,8
6686,8
6662,8
11290,8
7013,8
8877,8
7084,8
7946,8
4441,8
8878,8
1434,8
5991,8
