latitude,count
56.857498,53
53.075382,53
53.686005,53
49.496521,53
-34.6036,53
27.25,52
25.786289,52
52.297779,52
55.952061,52
38.851109,51
32.042267,51
51.499912,51
35.589119,51
23.710394,51
50.48333,50
23.613331,49
36.600559,49
40.790012,49
38.637455,48
44.804142,48
55.904514,48
49.870419,48
31.459375,48
37.748425,48
32.733974,48
39.469482,48
47.558598,47
27.95783,47
46.109192,47
40.44062,47
42.228848,47
47.500477,46
52.380795,46
40.544018,46
13.087898,46
30.87055,45
22.52058,45
43.653625,44
37.477234,44
41.38879,44
23.665661,44
42.365078,43
35.162052,43
59.436958,42
33.919201,42
49.240822,42
39.739361,42
-31.95224,41
52.481419,41
52.155071,41
47.610634,40
31.13019,40
52.525002,40
29.33333,40
42.50848,40
31.65,40
32.030296,39
50.776546,39
-22.905743,39
42.375111,39
40.796745,39
45.75,39
50.734478,39
37.533329,38
59.928982,38
49.355572,38
49.015205,38
41.330189,38
29.499678,38
46.051243,38
37.453594,38
33.34058,37
33.736172,37
49.249893,37
30.267151,37
11.562516,37
-24.786217,37
47.429165,37
41.508816,37
30.01347,36
52.847542,36
52.631718,36
35.154533,36
50.914398,36
49.611542,36
43.296951,36
51.845043,35
53.86898,35
49.833328,35
33.385559,35
48.364727,35
44.868427,35
47.380932,35
50.978943,35
48.306385,35
35.308777,35
29.763029,35
28.53834,35
44.016445,35
46.94809,35
60.205212,35
41.585686,34
24.297689,34
43.446182,34
40.884785,34
53.675434,34
35.870327,34
49.416382,33
-22.906759,33
54.321358,33
51.246769,33
32.876099,33
-34.928661,33
23.36422,33
49.506538,33
35.239719,33
53.382969,33
39.617233,33
49.080009,32
56.945999,32
40.79845,32
48.974449,32
45.52726,32
38.881008,32
52.508331,32
34.1022,32
32.492168,32
24.513271,31
51.5,31
49.870602,31
23.368172,31
37.3521,31
42.840626,31
32.992397,31
48.813854,31
46.477276,31
51.219891,30
37.366619,30
51.249981,30
34.266666,30
35.689507,30
41.867199,30
53.900074,30
26.58333,30
51.050743,30
39.290379,30
48.424168,29
43.212879,29
51.262489,29
38.564316,29
33.588612,29
48.32333,29
53.22683,29
52.67659,29
30.714531,29
48.099972,29
14.6042,29
52.396427,29
42.00668,28
4.60971,28
51.5075,28
36.720173,28
-1.28333,28
45.418877,28
41.25861,28
40.191727,28
46.812279,28
54.088699,28
59.858379,28
51.442501,27
49.747562,27
51.83202,27
33.753601,27
-7.78278,27
42.278015,27
43.880001,27
41.771,27
55.86515,27
45.814396,27
37.005848,27
40.810024,27
35.243061,26
35.227089,26
24.146866,26
43.250042,26
39.932541,26
52.091099,26
56.500103,26
39.50972,26
28.11639,26
34.683289,26
51.002693,26
49.235401,26
36.945187,26
50.88369,26
49.93866,26
34.864719,26
44.466686,25
40.013821,25
43.65633,25
51.865681,25
49.929008,25
22.930559,25
41.276379,25
32.09174,25
28.872391,25
9.14011,25
41.894253,25
49.834888,25
36.846809,24
40.273693,24
38.951668,24
43.579777,24
-33.902199,24
24.90575,24
48.891918,24
33.592995,24
46.202103,24
37.444057,24
41.639782,24
43.059444,24
53.200287,24
33.01968,24
16.067783,24
39.087345,24
43.466827,24
21.85,24
45.748314,24
51.09996,24
34.04174,24
-34.515469,24
49.298519,24
26.916765,24
61.499111,23
35.444443,23
57.630173,23
47.217342,23
47.77866,23
29.73333,23
48.51667,23
51.130291,23
38.406021,23
46.900879,23
54.899773,23
40.059631,23
45.648994,23
40.640331,23
49.457298,22
40.065647,22
24.312729,22
32.800369,22
42.358479,22
40.81065,22
38.677959,22
-7.248996,22
41.264648,22
51.907116,22
-35.283459,22
32.321941,22
51.587742,22
21.516939,22
64.135551,22
51.406059,22
50.120331,22
55.395939,22
-29.908079,21
-34.666935,21
57.707409,21
53.629459,21
33.808159,21
39.084068,21
47.799435,21
43.670841,21
39.034081,21
5.41146,21
51.24118,21
40.731323,21
55.731651,21
28.95944,21
37.255726,21
50.50404,21
19.413647,20
-33.883759,20
51.192478,20
52.266121,20
37.598671,20
54.51889,20
37.87159,20
55.60622,20
26.303234,20
39.105431,20
26.216667,20
33.738281,20
49.59552,20
51.20892,20
1.465653,20
28.460419,20
35.427513,20
43.105648,20
51.530819,20
39.633331,20
-38.234631,19
52.265697,19
33.640862,19
33.66946,19
49.781132,19
26.215372,19
43.71553,19
32.962769,19
47.68222,19
35.867001,19
33.072807,19
30.06263,19
41.846283,19
50.809124,19
39.768505,19
43.25,18
28.578844,18
38.58157,18
41.27203,18
52.84037,18
29.954651,18
22.616236,18
51.322727,18
37.517979,18
-6.178303,18
42.368481,18
50.082321,18
22.717911,18
50.258469,18
59.616169,18
37.758701,18
51.994064,18
51.96209,18
37.382282,18
50.18605,18
23.033199,18
50.46384,17
39.613087,17
38.412731,17
51.44202,17
48.841301,17
49.259239,17
27.54944,17
28.466713,17
28.45343,17
35.77766,17
48.480831,17
42.99564,17
37.392544,17
43.528301,17
51.73333,17
30.933332,17
53.123539,17
33.831848,17
36.107967,17
32.870201,17
46.583328,17
6.932475,17
45.411171,17
47.995899,16
51.456657,16
45.458408,16
38.727058,16
47.762211,16
50.84845,16
42.88728,16
51.481655,16
34.152027,16
49.980808,16
30.795149,16
60.416988,16
40.165714,16
36.099316,16
31.146,16
43.071846,16
43.671612,16
39.919868,16
48.398411,16
