framework,ip,status,count
Ollama,http://54.215.157.140:9001,200,6
Ollama,http://120.55.65.148:9050,404,2
Ollama,http://8.141.26.248:11434,404,1
Ollama,http://45.33.245.225:11434,200,4
Ollama,http://45.33.1.142:4070,200,6
Ollama,http://185.175.47.20:11434,200,4
Ollama,http://172.105.91.242:3051,200,4
Ollama,http://172.236.203.139:3388,200,4
Ollama,http://172.233.192.168:3175,200,7
Ollama,http://41.89.8.169:11434,200,3
Ollama,http://45.56.71.80:20292,200,9
Ollama,http://139.162.229.238:12364,200,3
Ollama,http://85.159.210.170:8834,200,3
Ollama,http://182.92.153.44:11434,404,2
Ollama,http://43.239.162.94:11434,404,3
Ollama,http://45.79.180.44:3156,200,1
Ollama,http://87.98.183.146:11434,404,2
Ollama,http://117.53.144.221:11434,200,3
Ollama,http://3.252.41.72:8002,200,2
Ollama,http://1.95.144.211:11434,404,7
Ollama,http://139.162.189.84:3081,200,8
Ollama,http://139.144.212.26:243,200,7
Ollama,http://220.194.141.61:12233,200,4
Ollama,http://15.223.199.62:523,200,3
Ollama,http://23.249.179.245:11434,200,7
Ollama,http://15.168.238.161:10087,200,6
Ollama,http://139.162.82.239:3528,200,5
Ollama,http://173.255.192.81:3016,200,3
Ollama,http://172.233.116.54:58443,200,7
Ollama,http://23.239.12.230:3175,200,7
Ollama,http://216.12.173.86:11434,404,2
Ollama,http://98.83.97.20:443,400,4
Ollama,http://45.79.180.14:30005,200,2
Ollama,http://23.239.12.184:3086,200,1
Ollama,http://139.162.150.179:8082,200,2
Ollama,http://43.206.220.6:15000,200,5
Ollama,http://15.235.66.180:11434,404,5
Ollama,http://110.235.85.220:11434,404,4
Ollama,http://139.144.210.30:9090,200,3
Ollama,http://172.234.44.170:443,200,3
Ollama,http://198.74.57.198:4524,200,5
Ollama,http://111.229.47.38:11434,404,2
Ollama,http://154.57.220.53:443,400,3
Ollama,http://43.239.162.94:11434,200,3
Ollama,http://14.103.164.189:11434,200,2
Ollama,http://87.98.183.146:11434,200,2
Ollama,http://129.153.229.32:11434,200,4
Ollama,http://1.95.144.211:11434,200,5
Ollama,http://50.116.23.37:3074,200,5
Ollama,http://164.92.81.201:11434,200,2
Ollama,http://108.187.250.245:11434,404,2
Ollama,http://15.235.66.180:11434,200,3
Ollama,http://8.141.26.248:11434,400,1
Ollama,http://43.207.114.39:8888,200,7
Ollama,http://23.249.178.43:11434,200,5
Ollama,http://203.69.53.137:27000,404,2
Ollama,http://172.105.70.168:3021,200,5
Ollama,http://38.54.75.244:3132,200,4
Ollama,http://103.49.70.253:11434,200,3
Ollama,http://216.152.233.170:11434,200,3
Ollama,http://173.255.192.64:3089,200,4
Ollama,http://16.176.2.121:10093,200,6
Ollama,http://97.107.137.240:3096,200,5
Ollama,http://172.233.27.101:60099,200,7
Ollama,http://8.141.26.248:11434,500,1
Ollama,http://203.69.53.137:2002,404,2
Ollama,http://125.76.225.65:11434,200,3
Ollama,http://182.92.153.44:11434,200,2
Ollama,http://139.162.17.182:3016,200,3
Ollama,http://72.146.53.17:80,404,2
Ollama,http://216.12.173.86:11434,200,1
Ollama,http://88.80.186.5:2882,200,4
Ollama,http://120.55.65.148:9050,200,3
Ollama,http://172.233.233.31:2024,200,4
Ollama,http://13.203.204.120:9200,200,3
Ollama,http://172.104.41.42:3072,401,1
Ollama,http://13.211.233.65:27017,200,2
Ollama,http://117.72.82.15:11434,200,3
Ollama,http://203.69.53.137:27000,200,1
Ollama,http://110.235.85.220:11434,200,3
Ollama,http://216.152.233.170:11434,404,1
Ollama,http://23.249.179.245:11434,404,2
Ollama,http://172.93.186.226:11434,200,3
Ollama,http://203.69.53.137:2002,200,1
Ollama,http://108.187.251.194:11434,200,2
Ollama,http://129.153.229.32:11434,500,1
Ollama,http://8.138.24.157:11434,200,3
